Alias	Latitud 	Longitud	Altitud	Estacion (41)
ACO	19.635501	-98.912003	2198	Acolman
AJU	19.154286	-99.162611	2942	Ajusco (Antes Parres-PAR)
AJM	19.272083	-99.20758	2619	Ajusco Medio
ARA	19.452592	-99.086095	2258	Aragon
ATI	19.576963	-99.254133	2341	Atizap‡n de Zaragoza
CAM	19.468404	-99.169794	2233	Camarones
CCA	19.326200	-99.17610	2280 	Centro de Ciencias de la Atmosfera
TEC	19.487227	-99.114229	2265 	Cerro de Tepeyac
CHO	19.266948	-98.886088	2253 	Chalco
COR	19.265346	-99.02604	2242 	CORENA
COY	19.350258	-99.157101	2260 	Coyoacan
CUA	19.365313	-99.291705	2704 	Cuajimalpa
CUT	19.722186	-99.198602	2263	Cuautitlan
DIC	19.298819	-99.185774	2305	Diconsa Tlalpan
EAJ	19.271222	-99.203971	2584	Ecoguardas Ajusco
EDL	19.313357	-99.310635	2980	Ex Convento Desierto de los Leones
FAC	19.482473	-99.243524	2299	FES Acatl‡n (Antes ENEP Acatl‡n-EAC)
HGM	19.411617	-99.152207	2234	Hospital General de MŽxico
IZT	19.384413	-99.117641	2238	Iztacalco
LPR	19.534727	-99.11772	2302 	La Presa
LAA	19.483781	-99.147312	2255	Laboratorio de Analisis Ambiental
IBM	19.443319	-99.21536	2314 	Legaria
LOM	19.40300	-99.242062	2434 	Lomas
LLA	19.578792	-99.039644	2230 	Los Laureles
AME     19.130531       -98.786681 	2457 	Amecameca
TEN     19.156953       -98.863989      2385    Tenango del Aire
OZU     19.044911       -98.799964      2355    Ozumba
MER	19.42461	-99.119594	2245	Merced
MGH	19.40400	-99.20272	2366	Miguel Hidalgo
MPA	19.200712	-99.011325	2343	Milpalta
MON	19.460415	-98.902853	2252	Montecillo (Antes Chapingo-CHA)
NEZ	19.393734	-99.028212	2235	Nezahualcoyotl (Antes Sur-NTS)
PED	19.325146	-99.204136	2326	Pedregal
SAG	19.532968	-99.030324	2241 	San Agustin
SJA	19.452592	-99.086095	2258	San Juan de Aragon
SNT	19.250385	-99.256462	2946 	San Nicolas Totolapan
SFE	19.357357	-99.262865	2599 	Santa Fe
SHA	19.446203	-99.207868	2272	Secretaria de Hacienda
TAH	19.246459	-99.010564	2297	Tlahuac
TLA	19.529077	-99.204597	2311 	Tlalneplantla
TLI	19.602542	-99.177173	2313 	Tultitlan
TPN	19.257041	-99.184177	2522	Tlalpan
UIZ	19.360794	-99.07388	2221	UAM Iztapalapa
UAX	19.304441	-99.103629	2246	UAM Xochimilco
VIF	19.658223	-99.09659	2242 	Villa de las Flores
XAL	19.525995	-99.0824	2160	Xalostoc
AZC	19.4888925	-99.1680139	2240    Azcapotzalco
BJU	19.3716228	-99.1404083	2240    Benito Juarez
CES	19.3358844	-99.0586586	2290    Cerro de la Estrella
CUI	19.4710219	-99.1341597	2240	Cuitlahuac
HAN	19.4216736	-99.0830467	2240	Hangares
IMP	19.48872	-99.1193728	2240	Instituto Mexicano del Petr—leo
LAG	19.4435811	-99.1314825	2240	Lagunilla
LVI	19.4690508	-99.1155792	2240	La Villa
MIN	19.4225989	-99.1371167	2240	Metro Insurgentes
PAR	19.1540814	-99.1363392	2942    Ajusco (Antes Parres-PAR)
PER	19.3840167	-98.9748111	2240	La Perla
PLA	19.3670278	-99.1998953	2240	Plateros
SUR	19.3136886	-99.1170017	2240	Santa Ursula
TAC	19.4550678	-99.1975469	2240	Tacuba
TAX	19.3368408	-99.11013	2240	Taxque–a
VAL	19.5235975	-99.1342978	2240	Vallejo
